number,count,count2,count3
568,1520,250,1467
569,1272,6,557
570,355,366,241
571,1689,732,954
572,634,408,1402
573,1962,628,795
574,973,776,299
575,885,630,12
576,677,89,897
577,690,344,1285
578,598,122,1217
579,1536,793,573
580,1968,278,761
581,1419,525,575
582,1163,702,630
583,503,700,1432
584,1590,133,557
585,721,579,732
586,1947,411,1394
587,1071,340,1097
588,1330,123,133
589,1617,66,795
590,958,175,729
591,1207,670,856
592,1212,218,778
593,9,467,761
594,1819,575,248
595,274,164,795
596,397,470,1034
597,660,153,158
598,1626,776,81
599,572,57,812
600,1593,686,1038
601,1414,635,480
602,144,377,824
603,967,174,119
604,1832,668,663
605,1747,646,1378
606,1019,508,1258
607,552,582,692
608,830,260,1046
609,226,542,1497
610,1283,161,299
611,376,756,970
612,493,286,366
613,671,603,387
614,38,262,51
615,146,395,307
616,1948,447,66
617,1941,790,401
618,384,658,531
619,15,277,631
620,1891,778,1285
621,467,303,678
622,64,460,221
623,544,63,923
624,1384,578,331
625,1623,331,174
626,433,609,874
627,325,458,1176
628,541,211,1344
629,334,404,804
630,386,361,1007
631,790,800,1323
632,100,38,1029
633,679,88,309
634,1737,58,954
635,1599,229,1282
636,920,559,1385
637,239,686,217
638,744,644,419
639,989,377,940
640,475,277,938
641,1055,166,557
642,1475,543,1072
643,888,528,646
644,948,468,476
645,461,314,362
646,1853,300,194
647,1262,370,621
648,610,475,643
649,168,429,468
650,762,649,1149
651,7,625,1102
652,905,243,1429
653,1764,77,356
654,856,61,326
655,1523,396,192
656,1358,621,1365
657,1398,309,366
658,1196,756,910
659,516,727,975
660,1567,455,547
661,848,676,26
662,1549,629,421
663,1128,549,512
664,375,308,25
665,1800,294,122
666,1001,218,701
667,867,752,1112
668,107,729,1080
669,324,520,310
670,193,20,1109
671,172,790,1344
672,1954,436,1019
673,1983,292,1018
674,970,331,1358
675,63,696,241
676,1326,401,93
677,335,613,104
678,1495,372,880
679,597,163,1432
680,157,665,378
681,1699,778,1341
682,260,354,1230
683,1014,670,224
684,709,269,1133
685,21,702,14
686,1703,195,831
687,1253,289,1393
688,1694,58,1354
689,912,633,310
690,1792,330,966
691,1622,378,1486
692,1508,128,862
693,805,58,763
694,1591,74,4
695,92,157,1074
696,468,573,1372
697,1896,110,635
698,1975,450,1099
699,191,225,829
700,1776,733,481
701,1048,142,595
702,933,620,748
703,185,704,1494
704,746,530,1212
705,1687,589,1316
706,1945,6,285
707,1790,726,237
708,844,99,642
709,356,732,345
710,356,338,1473
711,608,678,1348
712,1605,485,721
713,1416,378,1371
714,982,201,125
715,1372,418,680
716,577,529,173
717,865,374,385
718,1105,453,792
719,910,9,226
720,1896,796,1018
721,1876,171,152
722,255,25,741
723,459,48,1223
724,364,340,1475
725,1890,647,1333
726,1470,757,198
727,402,545,430
728,523,682,203
729,1403,388,1307
730,319,241,639
731,274,427,433
732,1469,618,1356
733,1839,588,730
734,1546,249,457
735,1132,290,942
736,465,167,1456
737,220,132,698
738,455,368,432
739,182,227,1435
740,1449,134,399
741,196,407,600
742,1966,498,1435
743,450,276,1133
744,967,73,373
745,1248,311,1450
746,1483,266,719
747,399,791,488
748,1251,471,216
749,936,481,1428
750,1025,347,180
751,1014,721,148
752,1989,748,505
753,820,654,1144
754,407,278,480
755,6,333,125
756,1375,128,87
757,274,251,1346
758,1023,794,840
759,1035,783,426
760,490,32,602
761,1168,60,356
762,653,180,103
763,1809,576,1182
764,1837,464,991
765,50,692,943
766,231,552,221
767,358,769,507
768,23,327,308
769,338,368,1213
770,1254,258,1301
771,590,320,528
772,541,760,536
773,1090,793,30
774,608,702,289
775,202,777,531
776,1003,177,699
777,1483,479,294
778,181,65,1432
779,883,710,1271
780,878,565,773
781,1657,620,1000
782,1918,97,60
783,246,740,456
784,180,572,87
785,783,349,744
786,1996,653,101
787,1157,36,231
788,398,579,98
789,746,168,1479
790,131,415,808
791,1356,399,674
792,1305,624,1302
793,1178,451,1202
794,431,107,1432
795,216,93,1312
796,54,230,822
797,894,541,889
798,623,88,737
799,1152,445,684
800,1298,414,802
801,216,198,897
802,203,366,1099
803,1307,311,1425
804,850,316,1359
805,1390,162,433
806,1696,685,1482
807,696,582,1077
808,804,783,751
809,460,7,715
810,1113,7,1387
811,1045,20,728
812,133,689,169
813,1837,784,436
814,1928,256,1270
815,1171,774,645
816,1072,727,728
817,182,715,1448
818,1338,353,339
819,1300,643,370
820,1670,618,14
821,365,532,672
822,1517,463,582
823,64,125,229
824,773,681,1140
825,1167,141,815
826,1271,223,805
827,820,357,771
828,1625,467,1436
829,1350,261,880
830,1321,384,1439
831,1903,221,478
832,902,787,1141
833,513,761,647
834,413,175,1005
835,445,25,474
836,1341,186,1452
837,1062,537,1134
838,1914,679,1481
839,334,596,1053
840,965,28,26
841,204,570,1430
842,116,275,77
843,1794,439,832
844,413,80,479
845,716,449,389
846,826,143,679
847,1224,491,1468
848,428,655,349
849,1803,682,1402
850,702,136,71
851,1954,334,928
852,642,62,662
853,678,656,853
854,35,668,942
855,884,157,636
856,1544,274,1470
857,1224,650,914
858,1713,26,217
859,1281,453,500
860,1596,791,1307
861,1184,443,939
862,1148,595,265
863,841,285,185
864,375,587,917
865,559,563,264
866,910,257,963
867,683,754,808
868,1423,327,1352
869,1025,50,1001
870,1107,50,6
871,1742,735,100
872,357,206,358
873,1205,734,659
874,902,132,1068
875,958,86,95
876,1197,387,749
877,251,36,394
878,1534,321,875
879,1976,297,788
880,475,291,77
881,1226,33,1326
882,761,697,352
883,218,205,742
884,91,95,1012
885,934,36,827
886,789,739,471
887,885,344,1178
888,90,526,703
889,1221,592,336
890,803,519,1470
891,1650,674,1313
892,805,720,1023
893,517,780,651
894,1626,657,1395
895,1834,800,1074
896,596,685,902
897,687,415,1094
898,862,732,165
899,57,677,1029
900,171,553,1451
901,1416,415,1439
902,671,594,882
903,1420,474,701
904,342,40,893
905,1397,751,1440
906,483,639,541
907,1875,527,758
908,372,458,1210
909,1040,721,646
910,1305,659,459
911,446,709,220
912,403,165,292
913,958,570,159
914,57,277,203
915,658,545,149
916,131,575,184
917,325,351,877
918,1304,370,19
919,1535,461,889
920,1585,62,880
921,1185,368,1034
922,715,295,1485
923,1173,549,320
924,420,301,561
925,1172,329,1203
926,1699,659,430
927,563,89,1413
928,199,777,847
929,510,553,412
930,350,69,170
931,1163,687,1276
932,944,564,477
933,283,247,670
934,1123,677,809
935,1126,132,1264
936,1595,374,830
937,645,128,277
938,1527,17,53
939,1340,66,1112
940,1446,158,955
941,1989,642,758
942,675,289,1476
943,1809,66,1338
944,688,537,1471
945,273,89,1183
946,1450,700,256
947,725,230,250
948,1141,223,1087
949,1846,628,646
950,1353,284,714
951,1537,171,218
952,1307,570,696
953,454,512,387
954,1376,107,1411
955,1927,532,846
956,1599,787,1070
957,934,419,104
958,91,211,73
959,1805,736,1091
960,71,452,757
961,1115,243,1171
962,1462,325,1015
963,158,700,919
964,505,138,458
965,550,614,1434
966,1049,155,209
967,557,766,489
968,1526,522,1080
969,924,235,1422
970,1939,693,1331
971,157,100,1324
972,764,799,1379
973,1180,612,1206
974,1595,383,649
975,1885,745,288
976,1863,78,79
977,451,356,399
978,660,325,867
979,1286,743,197
980,27,199,1433
981,134,260,1324
982,1025,426,1106
983,1826,24,581
984,752,140,253
985,1366,517,1321
986,745,387,681
987,1027,36,536
988,1691,190,338
989,103,752,39
990,710,297,215
991,254,243,1040
992,1207,673,1052
993,1618,461,1140
994,1699,478,912
995,316,720,1119
996,396,668,377
997,1263,583,883
998,284,461,1280
999,598,685,1485
1000,605,91,1492
1001,1492,318,525
1002,283,502,345
1003,969,130,902
1004,1571,254,1454
1005,251,203,913
1006,1405,601,216
1007,1109,693,497
1008,330,587,1037
1009,1503,168,252
1010,1882,126,256
1011,873,153,251
1012,1026,774,729
1013,877,297,545
1014,46,548,1117
1015,161,468,1382
1016,993,289,826
1017,1527,90,429
1018,1794,756,175
1019,1359,689,85
1020,1774,374,896
1021,350,142,587
1022,1390,788,1442
1023,784,287,517
1024,421,458,986
1025,1702,582,245
1026,1778,243,454
1027,261,123,656
1028,505,652,1313
1029,38,581,1006
1030,1070,86,700
1031,603,199,593
1032,1508,53,860
1033,1899,733,99
1034,1105,769,547
1035,1828,208,1152
1036,114,122,1479
1037,1635,35,162
1038,890,444,1259
1039,1835,753,400
1040,1089,308,1439
1041,1388,155,111
1042,1302,137,126
1043,224,706,335
1044,1924,379,530
1045,611,281,1129
1046,913,458,143
1047,1136,164,1446
1048,952,675,955
1049,1243,189,199
1050,612,348,492
1051,581,683,672
1052,1284,611,104
1053,850,255,328
1054,1681,507,637
1055,209,701,1109
1056,855,724,766
1057,413,455,1369
1058,1102,564,307
1059,1404,463,294
1060,1793,535,1077
1061,1170,707,683
1062,380,246,755
1063,1203,540,522
1064,1019,439,1213
1065,566,238,1079
1066,1212,625,1145
1067,1499,602,1144
1068,1947,495,1005
1069,1042,453,80
1070,1600,409,137
1071,1390,508,693
1072,1531,106,1266
1073,347,620,1147
1074,527,620,1248
1075,320,162,569
1076,1064,647,368
1077,480,167,986
1078,856,684,469
1079,1049,247,705
1080,955,472,951
1081,1741,226,959
1082,1026,403,470
1083,1350,474,1104
1084,329,758,192
1085,115,11,779
1086,400,400,554
1087,866,478,830
1088,974,600,384
1089,264,281,656
1090,1298,595,616
1091,119,733,766
1092,502,295,750
1093,549,244,1226
1094,571,594,931
1095,1775,237,1391
1096,947,306,1234
1097,836,688,1077
1098,183,106,1294
1099,424,202,820
1100,961,549,230
1101,1478,345,353
1102,342,202,1259
1103,1257,780,1047
1104,1984,160,50
1105,1053,272,1013
1106,1166,192,1018
1107,510,750,466
1108,1062,636,801
1109,783,139,216
1110,1128,137,996
1111,1134,463,1029
1112,5,614,836
1113,741,409,1423
1114,708,179,711
1115,1602,122,269
1116,1399,56,226
1117,1908,485,901
1118,218,293,1304
1119,406,564,806
1120,797,627,1272
1121,1850,376,1493
1122,1745,445,676
1123,1629,333,324
1124,1905,520,991
1125,1962,621,955
1126,97,46,157
1127,1765,167,1328
1128,852,190,1016
1129,879,335,454
1130,1530,296,108
1131,329,374,910
1132,1843,762,1323
1133,168,370,513
1134,1121,636,257
1135,103,735,990
1136,392,169,241
1137,902,765,1258
1138,249,576,1277
1139,188,290,1420
1140,331,520,911
1141,1180,229,1314
1142,263,190,7
1143,1779,474,1243
1144,1373,668,1071
1145,1175,44,568
1146,761,592,1235
1147,5,297,1348
1148,1674,162,1090
1149,39,678,42
1150,23,580,489
1151,1862,120,1443
1152,963,115,203
1153,1978,119,745
1154,855,182,26
1155,1209,259,812
1156,1110,435,518
1157,1752,364,1407
1158,917,424,911
1159,591,114,650
1160,1953,55,605
1161,1737,551,764
1162,1214,222,167
1163,1269,598,809
1164,185,472,167
1165,196,127,154
1166,870,589,161
1167,1391,527,346
1168,445,65,348
1169,1278,265,1301
1170,881,288,899
1171,221,374,961
1172,48,137,354
1173,590,710,642
1174,253,92,784
1175,770,540,464
1176,353,565,355
1177,237,791,790
1178,885,407,446
1179,1334,112,1445
1180,1308,720,1332
1181,727,40,377
1182,1074,130,892
1183,1777,244,1475
1184,25,316,1228
1185,344,106,864
1186,1916,423,310
1187,950,611,1177
1188,290,266,1343
1189,1909,129,341
1190,556,218,443
1191,1519,549,1198
1192,1022,569,96
1193,686,485,494
1194,349,653,904
1195,1969,205,1167
1196,1767,195,146
1197,945,67,313
1198,1484,165,229
1199,1932,662,914
1200,232,120,933
1201,1900,325,1085
1202,416,8,820
1203,1641,400,681
1204,720,694,579
1205,5,602,1021
1206,1868,661,880
1207,929,283,672
1208,1111,334,1451
1209,355,752,1304
1210,240,608,1226
1211,1642,160,598
1212,1020,590,624
1213,47,399,6
1214,214,324,1022
1215,1082,104,1317
1216,1343,647,1233
1217,617,768,176
1218,1869,739,1217
1219,1545,370,989
1220,1961,31,743
1221,560,316,243
1222,473,137,341
1223,82,750,129
1224,1705,759,605
1225,137,674,3
1226,424,581,914
1227,1038,260,1171
1228,1911,356,616
1229,1103,31,232
1230,1070,362,786
1231,1230,492,651
1232,967,721,130
1233,456,525,936
1234,1363,512,1303
1235,1557,547,718
1236,375,745,953
1237,908,683,1168
1238,648,790,461
1239,1122,296,1361
1240,1872,498,1279
1241,1633,18,894
1242,1974,148,1442
1243,1738,344,576
1244,342,411,668
1245,502,269,60
1246,439,91,384
1247,187,275,762
1248,1717,624,1048
1249,1676,135,227
1250,588,8,128
1251,429,241,1335
1252,74,669,407
1253,791,618,508
1254,1445,378,1173
1255,26,707,385
1256,747,536,381
1257,998,335,808
1258,711,207,629
1259,1497,450,1372
1260,780,179,214
1261,1907,87,1242
1262,732,563,96
1263,481,613,1489
1264,828,585,632
1265,454,792,81
1266,1304,318,209
1267,884,768,417
1268,1045,635,1305
1269,383,748,140
1270,1315,198,473
1271,1019,91,32
1272,1232,572,1464
1273,710,442,1224
1274,1154,646,1405
1275,1542,728,667
1276,1663,238,381
1277,51,407,1312
1278,749,42,693
1279,1810,97,1173
1280,1216,486,888
1281,642,748,828
1282,1960,12,1491
1283,462,705,551
1284,98,637,1123
1285,602,264,935
1286,1050,267,440
1287,546,792,521
1288,1666,1,475
1289,185,266,1143
1290,60,674,1011
1291,722,258,1143
1292,1193,115,817
1293,1562,761,1483
1294,1201,562,73
1295,1933,679,999
1296,860,650,1389
1297,170,758,962
1298,461,27,1414
1299,624,239,577
1300,397,563,1097
1301,556,632,1252
1302,1255,155,729
1303,227,606,653
1304,1700,161,368
1305,898,125,229
1306,969,521,1056
1307,922,409,1131
1308,1293,148,376
1309,703,595,209
1310,37,121,837
1311,927,519,727
1312,1670,462,1142
1313,244,57,969
1314,1900,594,732
1315,1103,463,1390
1316,260,797,1190
1317,1564,243,138
1318,562,188,477
1319,982,335,1388
1320,885,554,732
1321,956,297,1130
1322,454,736,416
1323,1903,563,1063
1324,187,169,390
1325,1496,701,656
1326,1230,617,849
1327,1874,726,648
1328,533,166,1487
1329,972,433,321
1330,1893,395,204
1331,652,39,265
1332,1772,138,1079
1333,796,642,1083
1334,1173,604,1180
1335,71,105,995
1336,917,429,594
1337,1724,42,9
1338,182,44,217
1339,508,683,387
1340,1984,214,56
1341,860,661,831
1342,1487,324,1030
1343,44,634,452
1344,1503,292,1254
1345,1599,744,712
1346,942,568,513
1347,1504,155,196
1348,1556,6,670
1349,807,541,1101
1350,1387,23,428
1351,1638,568,496
1352,1553,396,1426
1353,465,516,325
1354,1383,75,1024
1355,1041,490,805
1356,664,148,327
1357,1479,440,90
1358,631,642,959
1359,992,545,1114
1360,753,380,469
1361,1412,543,561
1362,1372,134,1040
1363,1113,507,682
1364,222,702,111
1365,512,238,259
1366,164,350,1165
1367,374,23,402
1368,1213,538,1251
1369,569,743,589
1370,298,748,1353
1371,1553,576,1396
1372,1961,591,1194
1373,511,180,1225
1374,1415,60,1106
1375,1301,763,410
1376,1880,762,182
1377,872,211,955
1378,280,191,523
1379,1496,37,1069
1380,100,259,12
1381,1667,322,1188
1382,165,198,1128
1383,1529,176,178
1384,22,144,983
1385,178,51,941
1386,1366,42,600
1387,1130,126,680
1388,1517,56,236
1389,85,238,956
1390,1697,65,122
1391,1748,395,913
1392,1053,321,1458
1393,1137,644,902
1394,1870,587,719
1395,491,306,1235
1396,746,364,426
1397,1807,519,1
1398,119,566,1318
1399,1076,234,304
1400,67,670,538
1401,1139,746,138
1402,1295,294,426
1403,880,9,1241
1404,978,423,1236
1405,347,397,175
1406,1087,615,588
1407,964,221,7
1408,245,702,434
1409,142,73,696
1410,1031,613,1198
1411,1368,728,405
1412,381,181,1265
1413,1508,585,1068
1414,1878,777,1395
1415,1160,120,800
1416,958,661,76
1417,660,534,1384
1418,324,229,687
1419,558,327,949
1420,783,761,122
1421,1149,125,988
1422,141,571,220
1423,1561,395,956
1424,696,393,1257
1425,1139,574,206
1426,107,48,289
1427,38,611,129
1428,718,33,713
1429,423,466,605
1430,1743,320,509
1431,459,560,354
1432,1930,365,1436
1433,1451,322,947
1434,1282,545,656
1435,113,199,1233
1436,1660,45,282
1437,674,59,124
1438,1598,425,204
1439,1450,404,517
1440,654,503,385
1441,1753,234,296
1442,542,600,931
1443,1966,575,509
1444,1117,745,519
1445,1759,653,517
1446,90,199,337
1447,1084,158,1054
1448,1752,551,1450
1449,501,496,1259
1450,916,589,545
1451,1024,421,1095
1452,473,202,256
1453,358,588,1367
1454,1052,656,160
1455,689,316,394
1456,1085,608,907
1457,351,54,194
1458,717,418,92
1459,485,715,781
1460,1200,514,827
1461,1786,525,971
1462,1981,12,281
1463,966,3,654
1464,1127,245,544
1465,958,130,354
1466,1622,501,538
1467,1812,655,510
1468,1649,167,1141
1469,1712,748,664
1470,1874,735,148
1471,1017,81,42
1472,997,297,930
1473,1698,729,397
1474,1646,39,159
1475,939,350,1280
1476,1540,722,511
1477,987,514,263
1478,1444,516,1154
1479,814,412,288
1480,1554,668,595
1481,805,104,483
1482,239,136,66
1483,1725,490,919
1484,1571,250,177
1485,996,532,144
1486,1882,263,1344
1487,1549,612,546
1488,1594,115,436
1489,1127,702,128
1490,1154,389,963
1491,1954,655,1491
1492,473,61,247
1493,1281,146,1435
1494,1713,109,216
1495,679,766,1271
1496,1581,734,1312
1497,1746,199,1398
1498,1365,511,1145
1499,759,757,448
1500,425,368,862
1501,1834,227,544
1502,987,533,817
1503,1102,762,1233
1504,1104,266,1037
1505,1222,702,627
1506,385,168,634
1507,485,765,1051
1508,1047,460,902
1509,638,461,1403
1510,165,503,439
1511,1604,239,1366
1512,257,538,504
1513,945,625,533
1514,1800,667,1010
1515,1747,195,753
1516,1905,363,1148
1517,792,139,1279
1518,1748,251,489
1519,521,147,1303
1520,463,459,287
1521,1262,304,50
1522,378,88,324
1523,1759,652,671
1524,423,50,1350
1525,797,745,543
